source,year,store,item,price_usd_low,price_usd_high,unit,brand_low,brand_high,note,quality_flag
tableau_grocerygraph_2021,2021,Food Bazaar,Milk (1/2 Gallon),2.99,,half gallon,Cream-o-Land,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Milk (1/2 Gallon),3.49,,half gallon,Midland Farms,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Milk (1/2 Gallon),3.49,,half gallon,Cream-o-Land,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Milk (1/2 Gallon),4.19,,half gallon,Cream-o-Land,,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Milk (1/2 Gallon),4.19,,half gallon,Tuscan Dairy Farms Gal,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Milk (1/2 Gallon),4.49,,half gallon,2% Derle Hygrade Gal,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Milk (1/2 Gallon),4.59,,half gallon,Organic Valley,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Milk (1/2 Gallon),4.59,,half gallon,Tuscan Dairy Farms Gal,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Peanut Butter,2.49,,jar,Avenue A,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Shop Fair,Peanut Butter,2.99,,jar,Jif,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Peanut Butter,3.19,,jar,Skippy,,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Peanut Butter,3.19,,jar,Skippy,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Key Food,Peanut Butter,3.29,,jar,Jif,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Peanut Butter,3.49,,jar,Jif,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Peanut Butter,3.79,,jar,Jif,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Peanut Butter,3.99,,jar,Skippy,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Peanut Butter,3.99,,jar,Jif,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Peanut Butter,7.49,,jar,Woodstock Organic Farms,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Spinach,1.29,,pack/bunch,Kale,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Spinach,2.49,,pack/bunch,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Spinach,2.5,,pack/bunch,Uncle Vinny's,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Spinach,2.99,,pack/bunch,Fresh,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Key Food,Spinach,2.99,,pack/bunch,Dole,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Shop Fair,Spinach,2.99,,pack/bunch,Dole,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Spinach,3.29,,pack/bunch,Bunch,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Spinach,3.69,,pack/bunch,Bunch,,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Spinach,3.69,,pack/bunch,Bunch,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Spinach,5.99,,pack/bunch,Bunch,,lowest-price option per Tableau viz,
yjc_index_2026,2026,Associated,Apples,2.69,,"Gala, per lb","Gala, per lb",,,
yjc_index_2026,2026,Associated,Bananas,0.89,,"Dole, per lb","Dole, per lb",,,
yjc_index_2026,2026,Associated,Tomatoes,2.69,,"On the vine, per lb","On the vine, per lb",,,
yjc_index_2026,2026,Associated,Kale,1.99,,Per lb,Per lb,,,
yjc_index_2026,2026,Associated,Spinach,4.79,,"Attitude, 5 oz","Attitude, 5 oz",,,
yjc_index_2026,2026,Associated,Bread,2.99,,Wonderbread 20z,Wonderbread 20z,,,
